Rank,Athlete,Distance,Runs,Longest,Avg. Pace,Elev. Gain,timestamp,location,Activities,Time,time_hold,dist_LA,dist_float,avg_pace_float,avg_pace_km_min,time_spent,National Rank,Location Rank,elevation_gain
12,Ahhad I.,6.3 km,,,7:18 /km,28 m,2022-11-13 16:18:13.638756,"Los Angeles, CA",1.0,46m,46.0,6.3,6.3,"['7', '18']",7.3,45.989999999999995,121,12,28.0
4,Shaden A.,6.3 km,1.0,6.3 km,6:12 /km,83 m,2022-11-13 16:18:13.638756,"Seattle, WA",,,,,6.3,"['6', '12']",6.2,39.06,122,4,83.0
20,Samer H.,6.3 km,3.0,2.2 km,5:04 /km,20 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,6.3,"['5', '04']",5.066666666666666,31.919999999999998,123,20,20.0
33,\/\/@$! D.,6.1 km,2.0,3.5 km,7:44 /km,--,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,6.1,"['7', '44']",7.733333333333333,47.17333333333333,124,33,0.0
22,Farhan M.,5.8 km,1.0,5.8 km,5:26 /km,--,2022-11-13 16:18:13.638756,"New York, NY",,,,,5.8,"['5', '26']",5.433333333333334,31.513333333333335,125,22,0.0
34,Neelam Z.,5.8 km,2.0,3.5 km,7:12 /km,10 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,5.8,"['7', '12']",7.2,41.76,126,34,10.0
6,Leena H.,5.8 km,2.0,3.1 km,7:46 /km,47 m,2022-11-13 16:18:13.638756,"Washington, DC",,,,,5.8,"['7', '46']",7.766666666666667,45.04666666666667,127,6,47.0
25,Sumaia M.,5.5 km,1.0,5.5 km,7:18 /km,--,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,5.5,"['7', '18']",7.3,40.15,128,25,0.0
13,Afraah J.,5.5 km,,,9:27 /km,5 m,2022-11-13 16:18:13.638756,"Los Angeles, CA",2.0,52m,52.0,5.5,5.5,"['9', '27']",9.45,51.974999999999994,129,13,5.0
15,Ayan J.,5.3 km,,,6:2 /km,--,2022-11-13 16:18:13.638756,"Los Angeles, CA",1.0,32m,32.0,5.3,5.3,"['6', '2']",6.033333333333333,31.976666666666667,130,15,0.0
14,Dalila Z.,5.3 km,,,6:13 /km,61 m,2022-11-13 16:18:13.638756,"Los Angeles, CA",2.0,33m,33.0,5.3,5.3,"['6', '13']",6.216666666666667,32.94833333333333,131,14,61.0
